BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
BROOKLYN,BOROUGH PARK,03 THREE FAMILY HOMES,69,200000,1912757,1835000,4985000,2022
BROOKLYN,BRIGHTON BEACH,01 ONE FAMILY HOMES,15,375000,681267,545000,2350000,2022
BROOKLYN,BRIGHTON BEACH,02 TWO FAMILY HOMES,18,375000,1040320,840000,2600000,2022
BROOKLYN,BRIGHTON BEACH,03 THREE FAMILY HOMES,7,500000,897857,950000,1125000,2022
BROOKLYN,BROOKLYN HEIGHTS,01 ONE FAMILY HOMES,16,1250000,6891260,6475000,16750000,2022
BROOKLYN,BROOKLYN HEIGHTS,02 TWO FAMILY HOMES,9,3850000,10249444,9995000,18300000,2022
BROOKLYN,BROOKLYN HEIGHTS,03 THREE FAMILY HOMES,3,4200000,7350000,6500000,11350000,2022
BROOKLYN,BROWNSVILLE,01 ONE FAMILY HOMES,54,246000,528597,540000,935000,2022
BROOKLYN,BROWNSVILLE,02 TWO FAMILY HOMES,35,375000,769276,825000,1200000,2022
BROOKLYN,BROWNSVILLE,03 THREE FAMILY HOMES,9,650000,864029,925262,999999,2022
BROOKLYN,BUSH TERMINAL,01 ONE FAMILY HOMES,1,1025000,1025000,1025000,1025000,2022
BROOKLYN,BUSH TERMINAL,02 TWO FAMILY HOMES,7,605000,1159286,1235000,1660000,2022
BROOKLYN,BUSHWICK,01 ONE FAMILY HOMES,12,550000,1322506,1312500,2450000,2022
BROOKLYN,BUSHWICK,02 TWO FAMILY HOMES,148,225000,1404921,1225000,4687176,2022
BROOKLYN,BUSHWICK,03 THREE FAMILY HOMES,79,425000,1397716,1280000,2700000,2022
BROOKLYN,CANARSIE,01 ONE FAMILY HOMES,80,265000,634785,650000,995000,2022
BROOKLYN,CANARSIE,02 TWO FAMILY HOMES,217,250000,760398,790000,1180000,2022
BROOKLYN,CANARSIE,03 THREE FAMILY HOMES,33,202800,892300,900000,1350000,2022
BROOKLYN,CARROLL GARDENS,01 ONE FAMILY HOMES,6,2010000,3879167,3512500,6800000,2022
BROOKLYN,CARROLL GARDENS,02 TWO FAMILY HOMES,24,250000,3527813,3232500,7225000,2022
BROOKLYN,CARROLL GARDENS,03 THREE FAMILY HOMES,29,1650000,3086820,2900000,5550000,2022
BROOKLYN,CLINTON HILL,01 ONE FAMILY HOMES,16,1750000,3515563,3850000,4750000,2022
BROOKLYN,CLINTON HILL,02 TWO FAMILY HOMES,21,700000,3266461,3219500,5900000,2022
BROOKLYN,CLINTON HILL,03 THREE FAMILY HOMES,13,1790000,2788692,2700000,4490000,2022
BROOKLYN,COBBLE HILL,01 ONE FAMILY HOMES,7,3950000,6933571,6300000,10800000,2022
BROOKLYN,COBBLE HILL,02 TWO FAMILY HOMES,8,540600,4244450,4625000,6250000,2022
BROOKLYN,COBBLE HILL,03 THREE FAMILY HOMES,5,757425,3231485,2900000,6250000,2022
BROOKLYN,COBBLE HILL-WEST,01 ONE FAMILY HOMES,1,3495000,3495000,3495000,3495000,2022
BROOKLYN,COBBLE HILL-WEST,02 TWO FAMILY HOMES,1,1999000,1999000,1999000,1999000,2022
